date,ICU bed capacity,ICU beds occupied,ICU beds available,O2 bed capacity,O2 beds occupied,O2 beds available,Ventilator bed capacity,Ventilator beds occupied,Ventilator beds available
2020-04-09,?,?,?,?,?,?,?,?,?
2020-04-11,?,?,?,?,?,?,?,?,?
2020-04-15,?,?,?,?,?,?,?,?,?
2020-04-22,?,?,?,?,?,?,?,?,?
2020-04-26,?,?,?,?,?,?,?,?,?
2020-04-27,?,?,?,?,?,?,?,?,?
2020-04-29,?,?,?,?,?,?,?,?,?
2020-04-30,?,?,?,?,?,?,?,?,?
2020-05-08,480,456,?,?,?,?,?,?,?
2020-05-11,438,397,?,?,?,?,?,?,?
2020-05-14,438,417,?,?,?,?,?,?,?
2020-05-16,474,446,?,?,?,?,?,?,?
2020-05-17,520,473,?,?,?,?,?,?,?
2020-05-18,520,473,?,?,?,?,?,?,?
2020-05-19,552,510,?,?,?,?,?,?,?
2020-05-20,563,538,?,?,?,?,?,?,?
2020-05-21,586,567,?,?,?,?,?,?,?
2020-05-22,586,567,?,?,?,?,?,?,?
2020-05-23,597,583,?,?,?,?,335,198,?
2020-05-24,626,607,?,4116,2606,?,358,230,?
2020-05-25,626,610,?,4128,2642,?,359,242,?
2020-05-26,644,619,?,4116,2606,?,359,237,?
2020-05-27,642,638,?,4139,2735,?,366,262,?
2020-05-28,645,644,?,4292,2779,?,373,267,?
2020-05-29,666,645,?,3975,2799,?,362,287,?
2020-05-30,604,604,?,4359,3010,?,365,299,?
2020-05-31,673,670,?,4217,3094,?,368,297,?
2020-06-01,696,686,?,4368,3279,?,391,299,?
2020-06-02,1092,1073,?,4485,3375,?,408,362,?
2020-06-03,1095,1072,?,4517,3375,?,423,375,?
2020-06-04,1097,1080,?,4650,3424,?,442,378,?
2020-06-05,1100,1082,?,4654,3555,?,457,427,?
2020-06-06,1092,1074,?,4652,3556,?,457,425,?
2020-06-07,1094,1083,?,4651,3579,?,464,437,?
2020-06-08,1100,1084,?,4610,3585,?,464,435,?
2020-06-09,1164,1154,?,5946,4219,?,493,471,?
2020-06-10,1158,1142,?,5181,3948,?,503,481,?
2020-06-11,1163,1152,?,5202,3905,?,507,483,?
2020-06-12,1181,1167,?,5260,3986,?,530,497,?
2020-06-13,1197,1177,?,5325,4080,?,538,515,?
2020-06-14,1206,1189,17,5286,4126,1160,532,520,12
2020-06-15,1197,1187,10,5298,4060,1238,525,514,11
2020-06-16,1163,1162,1,5612,4315,1297,532,521,11
2020-06-17,1197,1159,38,6951,5644,1307,757,741,16
2020-06-18,1215,1163,52,7114,5943,1171,714,699,17
2020-06-19,1278,1183,95,7212,5902,1310,704,676,28
2020-06-20,1219,1147,72,7275,5995,1280,701,678,23
2020-06-21,1258,1186,72,7236,5010,1266,724,699,25
2020-06-22,1305,1225,80,7226,5977,1249,734,706,28
2020-06-23,1315,1215,100,7226,5977,1249,734,704,30
2020-06-24,1362,1254,108,7382,5901,1481,767,730,37
2020-06-25,1362,1258,104,7374,5915,1459,767,735,32
2020-06-26,1375,1273,102,7385,5935,1450,771,739,32
2020-06-27,1394,1290,104,7705,5985,1720,770,744,26
2020-06-28,1400,1289,111,7700,6007,1693,775,743,32
2020-06-29,1400,1299,101,7700,6006,1694,775,745,30
2020-06-30,1431,1263,168,7724,5877,1847,804,751,53
2020-07-01,1431,1257,174,7724,5969,1755,804,750,54
2020-07-02,1557,1415,142,7893,6114,1779,928,861,67
2020-07-03,1567,1421,146,8425,6261,2164,927,867,60
2020-07-04,1585,1440,145,8406,6284,2122,935,878,57
2020-07-05,1540,1410,130,8836,6390,2446,885,849,36
2020-07-06,1540,1410,130,8836,6404,2432,885,846,39
2020-07-07,1606,1482,124,10549,6468,4081,942,900,42
2020-07-08,1729,1487,242,11589,6459,5130,1051,914,137
2020-07-09,1733,1500,233,11640,6418,5222,1052,922,130
2020-07-10,1733,1507,226,11640,6386,5254,1052,911,141
2020-07-11,1738,1523,215,11250,6337,4913,1054,920,134
2020-07-12,1738,1514,224,11250,6303,4947,1054,915,139
2020-07-14,1737,1510,227,11247,6298,4949,1053,928,125
2020-07-15,1737,1525,212,11254,6215,5039,1053,932,121
2020-07-16,1737,1534,203,11254,6210,5044,1053,932,121
2020-07-17,1737,1521,216,11254,6256,4998,1053,929,124
2020-07-18,1737,1516,221,11254,6343,4911,1053,928,125
2020-07-19,1737,1544,193,11254,6344,4910,1053,942,111
2020-07-20,1737,1539,198,11254,6320,4934,1053,943,110
2020-07-21,1748,1535,213,11288,6271,5017,1054,943,111
2020-07-22,1748,1541,207,11288,6266,5022,1054,943,111
2020-07-23,1748,1549,199,11288,6266,5022,1054,944,110
2020-07-24,1748,1534,214,11288,6294,4994,1054,945,109
2020-07-25,1764,1557,207,11284,6322,4962,1080,965,115
2020-07-26,1764,1575,189,11284,6297,4987,1080,967,113
2020-07-27,1776,1558,218,11297,6292,5005,1089,969,120
2020-07-28,1776,1542,234,11297,6021,5276,1089,949,140
2020-07-29,1753,1549,204,10916,5898,5018,1066,954,112
2020-07-30,1753,1554,199,10916,5867,5049,1066,952,114
2020-07-31,1748,1570,178,10872,5855,5017,1063,957,106
