#Cumulative cases by age from Mumbai’s full Dashboards. Some missing data,,,,,,,,,,,
https://stopcoronavirus.mcgm.gov.in/assets/docs/Dashboard.pdf,,,,,,,,,,,
,,,,,,,,,,,
Bulletin date,notes,0-10 yrs,10-20 yrs,20-30 yrs,30-40 yrs,40-50 yrs,50-60 yrs,60-70 yrs,70-80 yrs,80-90 yrs,>90 yrs
,,,,,,,,,,,
,,,,,,,,,,,
09/04/20,,15,29,147,128,133,100,94,33,14,2
10/04/20,missing,,,,,,,,,,
11/04/20,,20,44,204,176,199,142,130,52,21,3
12/04/20,missing,,,,,,,,,,
13/04/20,missing,,,,,,,,,,
14/04/20,missing,,,,,,,,,,
15/04/20,,51,135,407,333,312,258,159,68,19,3
16/04/20,missing,,,,,,,,,,
17/04/20,missing,,,,,,,,,,
18/04/20,missing,,,,,,,,,,
19/04/20,missing,,,,,,,,,,
20/04/20,missing,,,,,,,,,,
21/04/20,missing,,,,,,,,,,
22/04/20,,90,217,757,718,588,513,357,138,42,11
23/04/20,missing,,,,,,,,,,
24/04/20,missing,,,,,,,,,,
25/04/20,missing,,,,,,,,,,
26/04/20,,128,270,1064,1014,847,766,505,195,53,12
27/04/20,,132,277,1144,1083,911,813,534,210,59,12
28/04/20,missing,,,,,,,,,,
29/04/20,,142,302,1209,1168,979,880,576,232,65,13
30/04/20,,158,339,1354,1324,1112,1030,656,258,75,13
01/05/20,missing,,,,,,,,,,
02/05/20,missing,,,,,,,,,,
03/05/20,missing,,,,,,,,,,
04/05/20,missing,,,,,,,,,,
05/05/20,missing,,,,,,,,,,
06/05/20,missing,,,,,,,,,,
07/05/20,missing,,,,,,,,,,
08/05/20,,299,579,2450,2548,2257,2079,1293,570,147,28
09/05/20,missing,,,,,,,,,,
10/05/20,missing,,,,,,,,,,
11/05/20,,320,603,2680,2727,2386,2173,1383,584,150,29
12/05/20,missing,,,,,,,,,,
13/05/20,missing,,,,,,,,,,
14/05/20,,355,662,2981,3162,2726,2572,1618,682,175,33
15/05/20,missing,,,,,,,,,,
16/05/20,,375,688,3112,3346,2959,2768,1733,730,197,39
17/05/20,,394,721,3253,3543,3132,2941,1855,787,210,40
18/05/20,,409,750,3384,3717,3316,3091,1980,841,230,41
19/05/20,,440,805,3656,4008,3588,3414,2183,930,256,43
20/05/20,,458,836,3819,4239,3839,3667,2324,996,277,46
21/05/20,,478,878,4040,4497,4104,3975,2505,1082,301,47
22/05/20,,507,928,4232,4759,4375,4241,2684,1167,322,48
23/05/20,,535,969,4445,4996,4645,4540,2862,1243,351,52
24/05/20,,572,1021,4726,5329,4972,4903,3067,1343,386,58
25/05/20,,599,1063,4966,5610,5270,5234,3295,1425,410,60
26/05/20,,638,1148,5416,6153,5844,5953,3737,1635,464,70
27/05/20,,656,1170,5562,6334,6037,6158,3861,1702,486,71
28/05/20,,672,1191,5711,6510,6228,6391,4013,1764,510,73
29/05/20,,683,1230,5906,6769,6519,6688,4206,1861,534,75
30/05/20,,703,1279,6076,7020,6827,6978,4412,1960,570,77
31/05/20,,725,1334,6281,7249,7105,7274,4649,2069,606,82
01/06/20,,741,1380,6441,7451,7338,7539,4831,2161,635,86
