#Cumulative fatalities by age from Mumbai’s full Dashboards. Some missing data,,,,,,,,,,,
https://stopcoronavirus.mcgm.gov.in/assets/docs/Dashboard.pdf,,,,,,,,,,,
,,,,,,,,,,,
Bulletin date,notes,0-10 yrs,10-20 yrs,20-30 yrs,30-40 yrs,40-50 yrs,50-60 yrs,60-70 yrs,70-80 yrs,80-90 yrs,>90 yrs
09/04/20,,0,0,0,1,3,9,18,6,3,0
10/04/20,missing,,,,,,,,,,
11/04/20,,0,0,0,3,7,16,24,9,4,1
12/04/20,missing,,,,,,,,,,
13/04/20,missing,,,,,,,,,,
14/04/20,,,,,,,,,,,
15/04/20,,0,0,1,7,17,29,38,11,7,1
16/04/20,missing,,,,,,,,,,
17/04/20,missing,,,,,,,,,,
18/04/20,missing,,,,,,,,,,
19/04/20,missing,,,,,,,,,,
20/04/20,missing,,,,,,,,,,
21/04/20,missing,,,,,,,,,,
22/04/20,,0,0,3,9,22,45,50,13,7,1
23/04/20,missing,,,,,,,,,,
24/04/20,missing,,,,,,,,,,
25/04/20,missing,,,,,,,,,,
26/04/20,,0,0,5,11,29,53,65,18,10,1
27/04/20,,0,0,5,12,31,57,68,19,10,1
28/04/20,missing,,,,,,,,,,
29/04/20,missing,,,,,,,,,,
30/04/20,,0,0,5,17,43,69,84,29,11,1
01/05/20,missing,,,,,,,,,,
02/05/20,missing,,,,,,,,,,
03/05/20,missing,,,,,,,,,,
04/05/20,missing,,,,,,,,,,
05/05/20,missing,,,,,,,,,,
06/05/20,missing,,,,,,,,,,
07/05/20,missing,,,,,,,,,,
08/05/20,,0,1,8,24,78,129,136,54,19,4
09/05/20,missing,,,,,,,,,,
10/05/20,missing,,,,,,,,,,
11/05/20,missing,,,,,,,,,,
12/05/20,missing,,,,,,,,,,
13/05/20,missing,,,,,,,,,,
14/05/20,revision??,0,0,8,23,69,122,122,53,18,4
15/05/20,missing,,,,,,,,,,
16/05/20,,0,1,8,23,74,124,127,53,18,4
17/05/20,,0,1,10,43,127,186,184,76,21,5
18/05/20,no new data,0,1,10,43,127,186,184,76,21,5
19/05/20,no new data,0,1,10,43,127,186,184,76,21,5
20/05/20,,1,3,11,52,155,239,242,104,28,5
21/05/20,no new data,1,3,11,52,155,239,242,104,28,5
22/05/20,revision??,1,2,11,51,159,259,273,119,29,5
23/05/20,,1,3,13,57,170,274,272,120,32,6
24/05/20,revision??,1,2,12,54,169,287,296,130,32,5
25/05/20,no new data,1,2,12,54,169,287,296,130,32,5
26/05/20,no new data,1,2,12,54,169,287,296,130,32,5
27/05/20,no new data,1,2,12,54,169,287,296,130,32,5
28/05/20,,1,2,14,62,188,328,316,144,37,5
29/05/20,,1,2,15,65,195,340,325,149,38,5
30/05/20,,1,2,15,67,197,354,336,156,40,5
31/05/20,,1,2,15,67,197,354,336,156,40,5
01/06/20,,1,3,15,68,211,393,367,172,43,6
02/06/20,,1,3,15,70,222,417,407,178,47,8
03/06/20,no new data,1,3,15,70,222,417,407,178,47,8
04/06/20,,1,3,17,70,229,430,421,187,50,9
05/06/20,,1,3,20,74,238,439,436,191,53,10
06/06/20,,2,3,20,75,240,456,449,201,61,11
07/06/20,,2,3,22,80,252,473,460,209,63,11
08/06/20,,2,3,23,82,266,489,474,220,66,11
09/06/20,,2,4,24,83,274,504,495,233,69,12
10/06/20,,2,4,24,85,281,523,514,243,70,12
11/06/20,,2,4,25,87,294,538,540,257,75,13
12/06/20,,2,4,26,95,301,569,566,271,85,15
13/06/20,,2,5,26,102,319,593,595,288,96,16
14/06/20,,2,5,27,109,323,610,620,296,103,16
15/06/20,,2,5,27,111,329,634,644,310,111,17
16/06/20,,2,5,29,112,335,652,664,319,113,17
17/06/20,,2,5,29,112,335,652,664,319,113,17
18/06/20,Major reconciliation,3,11,47,156,456,931,932,493,180,23
19/06/20,,4,12,46,160,458,941,925,498,184,23
20/06/20,,4,12,46,160,458,941,925,498,184,23
21/06/20,,4,13,49,169,483,985,1012,539,200,24
22/06/20,,4,13,50,174,492,1017,1041,565,207,25
23/06/20,,6,13,50,175,501,1036,1059,574,215,25
24/06/20,,6,14,52,178,508,1065,1094,594,224,26
25/06/20,,6,14,56,184,535,1108,1157,627,245,26
26/06/20,,7,14,58,188,542,1133,1189,645,252,28
27/06/20,,7,14,60,193,551,1160,1221,676,260,31
28/06/20,,7,14,62,195,565,1187,1255,691,271,31
29/06/20,,7,14,62,201,577,1204,1275,713,279,33
30/06/20,,7,17,68,207,585,1221,1301,736,282,33
01/07/20,,7,17,70,214,597,1245,1325,758,284,33
02/07/20,,7,18,72,216,607,1265,1345,772,288,35
03/07/20,,7,18,72,220,609,1279,1360,786,296,35
04/07/20,,8,18,72,223,621,1294,1381,798,305,35
05/07/20,,8,18,74,224,630,1307,1399,816,312,35
06/07/20,,8,18,75,227,633,1324,1417,836,319,35
07/07/20,,8,18,76,229,637,1334,1425,845,324,36
08/07/20,,8,18,77,232,641,1345,1442,863,333,36
09/07/20,,8,18,79,235,645,1357,1460,881,341,37
10/07/20,,8,18,81,236,649,1373,1480,899,347,38
11/07/20,,8,18,81,238,653,1382,1505,923,356,38
12/07/20,,8,18,81,241,656,1389,1517,928,365,38
13/07/20,missing,,,,,,,,,,
14/07/20,,9,18,84,246,662,1403,1544,951,376,39
15/07/20,,9,18,85,247,667,1420,1565,967,384,40
16/07/20,,9,18,86,248,673,1432,1582,980,396,40
17/07/20,,9,20,86,251,676,1444,1602,987,405,40
18/07/20,,10,20,86,251,682,1462,1623,997,411,40
19/07/20,,10,20,88,253,687,1475,1643,1010,420,41
20/07/20,,10,20,89,256,691,1493,1655,1026,428,43
21/07/20,,10,21,90,257,694,1499,1667,1037,434,43
22/07/20,,10,21,91,258,699,1513,1683,1053,443,43
23/07/20,,10,21,92,262,702,1521,1698,1070,453,43
24/07/20,,10,21,93,265,707,1531,1710,1087,459,44
25/07/20,,11,21,94,269,707,1538,1727,1101,469,44
26/07/20,,11,21,94,272,710,1550,1741,1114,475,45
27/07/20,,11,22,95,275,713,1564,1758,1123,482,47
28/07/20,,11,22,95,276,716,1571,1772,1135,484,47
29/07/20,,11,22,95,278,721,1582,1788,1146,494,47
30/07/20,,11,22,96,279,723,1590,1805,1167,504,47
31/07/20,,11,22,97,279,727,1606,1817,1180,510,48
