date,A,B,C,D,E,GS,FS,GN,FN,MW,ME,HW,HE,L,N,KW,KE,S,PS,PN,T,RS,RC,RN
2020-04-09,6,6,9,53,64,184,13,12,15,20,24,19,37,17,15,46,30,20,18,36,7,20,15,9
2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,9,14,10,66,104,243,15,31,26,26,48,25,59,31,20,57,45,33,23,39,8,28,21,12
2020-04-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,39,46,13,130,135,360,41,97,58,62,95,36,96,85,38,88,90,67,34,57,11,36,26,13
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,118,58,23,207,349,487,119,251,228,104,149,79,154,240,76,222,181,90,68,97,23,71,30,20
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,127,74,33,285,466,600,154,349,359,160,210,115,263,371,109,373,265,131,95,120,32,94,56,29
2020-04-27,133,60,37,307,475,628,166,401,346,164,242,131,284,393,116,413,301,141,99,131,36,91,69,30
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,136,66,44,328,518,641,195,442,364,201,259,140,310,428,121,435,320,153,112,133,41,95,73,34
2020-04-30,159,76,47,347,605,693,251,532,437,225,286,158,351,458,137,496,381,167,133,143,43,106,77,37
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,
